station_name,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-05,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-15,2025-09-16,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28,2025-09-29,2025-09-30
Aachen Hbf,227,213,212,238,252,217,228,222,192,233,233,246,219,230,233,224,229,213,246,212,224,230,227,218,221,231,213,215,246,219
Düsseldorf Hbf,842,861,867,914,928,854,753,922,916,858,901,916,789,753,925,811,915,908,888,759,726,756,870,884,889,929,774,734,896,848
Köln Hbf,1021,949,990,990,1054,1036,960,1102,1085,976,1000,1031,1057,982,1158,1019,1117,1127,1154,1109,1008,1029,1158,1149,1130,1175,1108,1010,1212,1137
Essen Hbf,699,665,661,693,671,514,514,586,528,550,588,617,558,532,580,572,585,531,561,500,500,589,596,626,608,611,536,514,610,540
Duisburg Hbf,630,635,638,640,633,645,604,582,542,562,597,617,572,567,635,579,620,617,589,555,546,529,528,571,547,530,482,484,588,567
Dortmund Hbf,623,614,606,569,523,432,414,525,509,533,529,533,430,428,536,489,532,509,536,451,436,532,536,552,544,543,427,409,548,528
Bochum Hbf,440,412,415,438,365,0,0,114,112,115,121,120,0,0,116,110,125,63,117,0,0,112,125,127,129,118,0,0,116,107
Wuppertal Hbf,246,425,428,419,394,351,352,430,451,465,446,445,391,358,418,410,460,434,444,375,354,449,420,464,449,468,400,360,449,441
Bonn Hbf,169,175,179,173,172,164,162,168,141,147,156,187,171,193,225,205,223,223,228,200,202,228,229,233,215,201,174,182,224,230
Mönchengladbach Hbf,217,230,246,251,244,208,185,243,198,250,235,249,218,187,253,229,256,244,242,202,182,252,233,254,241,249,202,200,262,256
